Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 12:35:08 UTC 2014,0.4509,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:35:13 UTC 2014,0.4509,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:35:18 UTC 2014,0.4509,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:35:23 UTC 2014,0.2005,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:35:29 UTC 2014,0.2005,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:35:34 UTC 2014,0.2005,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:35:39 UTC 2014,0.2005,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:35:44 UTC 2014,0.2005,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:35:49 UTC 2014,0.3009,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:35:54 UTC 2014,0.3009,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:35:59 UTC 2014,0.3009,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:36:04 UTC 2014,0.3009,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:36:09 UTC 2014,0.3009,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:36:14 UTC 2014,0.3009,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:36:19 UTC 2014,0.0502,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:36:24 UTC 2014,0.0502,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:36:29 UTC 2014,0.0502,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:36:35 UTC 2014,0.0502,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:36:40 UTC 2014,0.0502,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:36:45 UTC 2014,0.0502,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:36:50 UTC 2014,0.2506,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:36:55 UTC 2014,0.2506,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:37:00 UTC 2014,0.2506,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:37:05 UTC 2014,0.2506,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:37:10 UTC 2014,0.2506,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:37:15 UTC 2014,0.2506,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:37:20 UTC 2014,0.2004,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:37:25 UTC 2014,0.2004,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:37:30 UTC 2014,0.2004,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:37:35 UTC 2014,0.2004,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:37:40 UTC 2014,0.2004,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:37:46 UTC 2014,0.2004,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:37:51 UTC 2014,0.2508,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:37:57 UTC 2014,0.2508,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:02 UTC 2014,0.2508,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:07 UTC 2014,0.2508,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:12 UTC 2014,0.2508,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:17 UTC 2014,0.2508,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:22 UTC 2014,0.2506,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:27 UTC 2014,0.2506,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:32 UTC 2014,0.2506,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:37 UTC 2014,0.2506,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:43 UTC 2014,0.2506,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:48 UTC 2014,0.3012,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:53 UTC 2014,0.3012,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:38:58 UTC 2014,0.3012,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:03 UTC 2014,0.3012,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:08 UTC 2014,0.3012,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:13 UTC 2014,0.3012,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:18 UTC 2014,0.2005,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:23 UTC 2014,0.2005,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:28 UTC 2014,0.2005,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:33 UTC 2014,0.2005,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:39 UTC 2014,0.2005,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:44 UTC 2014,0.2005,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:49 UTC 2014,0.3507,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:54 UTC 2014,0.3507,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:59 UTC 2014,0.3507,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:04 UTC 2014,0.3507,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:09 UTC 2014,0.2006,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:14 UTC 2014,0.2006,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:19 UTC 2014,0.2006,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:24 UTC 2014,0.2006,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:29 UTC 2014,0.2006,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:34 UTC 2014,0.2006,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:40 UTC 2014,0.1505,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:45 UTC 2014,0.1505,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:50 UTC 2014,0.1505,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:55 UTC 2014,0.1505,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:00 UTC 2014,0.1505,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:05 UTC 2014,0.1505,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:10 UTC 2014,0.2504,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:15 UTC 2014,0.2504,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:20 UTC 2014,0.2504,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:25 UTC 2014,0.2504,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:30 UTC 2014,0.1505,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:35 UTC 2014,0.1505,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:41 UTC 2014,0.1505,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:46 UTC 2014,0.1505,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:51 UTC 2014,0.1505,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:56 UTC 2014,0.1505,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:01 UTC 2014,0.1501,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:06 UTC 2014,0.1501,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:11 UTC 2014,0.1501,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:16 UTC 2014,0.1501,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:21 UTC 2014,0.1501,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:26 UTC 2014,0.1499,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:31 UTC 2014,0.1499,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:36 UTC 2014,0.1499,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:41 UTC 2014,0.1499,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:47 UTC 2014,0.1499,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:42:52 UTC 2014,0.1499,0.12,1.0,CassandraNode_scaleIn,
