Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 10:08:17 UTC 2014,55.6582,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:23 UTC 2014,49.9196,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:28 UTC 2014,52.1076,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:33 UTC 2014,50.9042,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:38 UTC 2014,55.2141,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:43 UTC 2014,55.5908,0.6,5.0,CassandraNode_scaleOut,
Fri Feb 21 10:08:48 UTC 2014,58.1195,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:08:54 UTC 2014,58.1195,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:08:59 UTC 2014,59.3065,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:09:04 UTC 2014,59.3034,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:09:09 UTC 2014,59.3798,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:09:14 UTC 2014,59.3798,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:09:20 UTC 2014,57.986,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:09:25 UTC 2014,55.3823,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:09:30 UTC 2014,50.4157,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:09:35 UTC 2014,50.7681,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:09:41 UTC 2014,50.768,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:09:46 UTC 2014,47.8201,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:09:51 UTC 2014,46.287,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:09:56 UTC 2014,49.2027,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:10:01 UTC 2014,49.0323,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:10:06 UTC 2014,48.9838,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:10:11 UTC 2014,54.5599,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:10:16 UTC 2014,54.5599,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:10:21 UTC 2014,55.5594,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:10:26 UTC 2014,46.3534,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:10:31 UTC 2014,46.7272,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:10:36 UTC 2014,46.7271,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:10:41 UTC 2014,44.9235,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:10:47 UTC 2014,52.1259,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:10:52 UTC 2014,51.0718,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:10:57 UTC 2014,50.8709,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:11:02 UTC 2014,50.8935,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:11:07 UTC 2014,45.8722,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:11:12 UTC 2014,45.8722,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:11:17 UTC 2014,47.1724,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:11:22 UTC 2014,52.2792,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:11:27 UTC 2014,53.3468,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:11:33 UTC 2014,53.3471,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:11:38 UTC 2014,53.3471,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:11:43 UTC 2014,51.7551,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:11:48 UTC 2014,51.7551,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:11:53 UTC 2014,50.7593,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:11:58 UTC 2014,54.4168,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:12:03 UTC 2014,54.6438,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:12:09 UTC 2014,53.1849,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:12:14 UTC 2014,53.4599,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:12:19 UTC 2014,53.8234,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:12:24 UTC 2014,56.069,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:12:29 UTC 2014,56.069,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:12:34 UTC 2014,55.8489,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:12:39 UTC 2014,54.5198,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:12:44 UTC 2014,54.6803,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:12:49 UTC 2014,53.8678,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:12:54 UTC 2014,53.5091,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:12:59 UTC 2014,53.5091,0.6,5.0,AppServer_scaleIn,
Fri Feb 21 10:13:05 UTC 2014,54.0322,0.6,5.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:13:13 UTC 2014,53.9823,0.6,5.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:13:21 UTC 2014,55.6275,0.6,5.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:13:29 UTC 2014,53.5537,0.6,5.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:13:37 UTC 2014,53.8268,0.6,5.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:13:45 UTC 2014,53.5766,0.6,5.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:13:53 UTC 2014,48.7741,0.6,5.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:14:01 UTC 2014,50.2801,0.72,6.0,AppServer_scaleOut,
Fri Feb 21 10:14:06 UTC 2014,54.1242,0.72,6.0,AppServer_scaleOut,
Fri Feb 21 10:14:11 UTC 2014,54.1495,0.72,6.0,AppServer_scaleOut,
Fri Feb 21 10:14:16 UTC 2014,53.5578,0.72,6.0,AppServer_scaleOut,
Fri Feb 21 10:14:22 UTC 2014,53.5828,0.72,6.0,AppServer_scaleOut,
Fri Feb 21 10:14:27 UTC 2014,56.2757,0.72,6.0,AppServer_scaleOut,
Fri Feb 21 10:14:32 UTC 2014,54.7619,0.72,6.0,AppServer_scaleOut,
Fri Feb 21 10:14:37 UTC 2014,54.8025,0.72,6.0,AppServer_scaleOut,
Fri Feb 21 10:14:42 UTC 2014,55.5487,0.72,6.0,AppServer_scaleOut,
Fri Feb 21 10:14:47 UTC 2014,55.5487,0.72,6.0,AppServer_scaleOut,
Fri Feb 21 10:14:52 UTC 2014,56.1933,0.72,6.0,AppServer_scaleOut,
Fri Feb 21 10:14:57 UTC 2014,55.4042,0.72,6.0,AppServer_scaleOut,
Fri Feb 21 10:15:02 UTC 2014,51.8932,0.72,6.0,AppServer_scaleOut,
Fri Feb 21 10:15:07 UTC 2014,53.0686,0.72,6.0,AppServer_scaleOut,
Fri Feb 21 10:15:12 UTC 2014,52.9161,0.72,6.0,AppServer_scaleOut,
Fri Feb 21 10:15:18 UTC 2014,44.633,0.72,6.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:15:26 UTC 2014,44.6728,0.72,6.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:15:34 UTC 2014,46.8502,0.72,6.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:15:42 UTC 2014,54.4453,0.72,6.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:15:50 UTC 2014,55.048,0.72,6.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:15:58 UTC 2014,57.2049,0.72,6.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:16:06 UTC 2014,55.6344,0.72,6.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:16:14 UTC 2014,52.4149,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:16:19 UTC 2014,52.9712,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:16:24 UTC 2014,53.149,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:16:29 UTC 2014,47.8488,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:16:35 UTC 2014,53.2894,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:16:40 UTC 2014,57.9763,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:16:45 UTC 2014,53.7439,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:16:50 UTC 2014,53.975,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:16:55 UTC 2014,54.7821,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:17:00 UTC 2014,57.8367,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:17:05 UTC 2014,55.5137,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:17:10 UTC 2014,55.7218,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:17:15 UTC 2014,55.7218,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:17:20 UTC 2014,51.3733,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:17:25 UTC 2014,49.7722,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:17:30 UTC 2014,55.3001,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:17:36 UTC 2014,55.2845,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:17:41 UTC 2014,53.6378,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:17:46 UTC 2014,49.9144,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:17:51 UTC 2014,50.2922,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:17:56 UTC 2014,50.5062,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:18:01 UTC 2014,47.1541,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:18:06 UTC 2014,44.7325,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:18:11 UTC 2014,44.6148,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:18:16 UTC 2014,44.5198,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:18:21 UTC 2014,44.6885,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:18:26 UTC 2014,43.5385,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:18:31 UTC 2014,43.4061,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:18:37 UTC 2014,43.2628,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:18:42 UTC 2014,52.329,0.84,7.0,AppServer_scaleOut,
Fri Feb 21 10:18:47 UTC 2014,56.356,0.84,7.0,AppServer_scaleOut,
