Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 10:12:57 UTC 2014,45.3111,0.24,2.0,AppServer_scaleIn,
Fri Feb 21 10:13:02 UTC 2014,45.3111,0.24,2.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:13:10 UTC 2014,45.3111,0.24,2.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:13:18 UTC 2014,45.3111,0.24,2.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:13:26 UTC 2014,47.4128,0.24,2.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:13:34 UTC 2014,47.4128,0.24,2.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:13:42 UTC 2014,47.4128,0.24,2.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:13:51 UTC 2014,44.6939,0.24,2.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:13:59 UTC 2014,53.068,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:14:04 UTC 2014,53.068,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:14:09 UTC 2014,59.6984,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:14:14 UTC 2014,59.6984,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:14:19 UTC 2014,59.6984,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:14:24 UTC 2014,59.6984,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:14:29 UTC 2014,49.5482,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:14:34 UTC 2014,49.5482,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:14:39 UTC 2014,49.5482,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:14:44 UTC 2014,49.5482,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:14:49 UTC 2014,49.5482,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:14:54 UTC 2014,49.5482,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:15:00 UTC 2014,45.8039,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:15:05 UTC 2014,45.8039,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:15:10 UTC 2014,45.8039,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:15:15 UTC 2014,45.8039,0.24,2.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:15:23 UTC 2014,45.8039,0.24,2.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:15:31 UTC 2014,46.7026,0.24,2.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:15:39 UTC 2014,46.7026,0.24,2.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:15:47 UTC 2014,46.7026,0.24,2.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:15:55 UTC 2014,48.0414,0.24,2.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:16:03 UTC 2014,48.9448,0.24,2.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:16:11 UTC 2014,48.9448,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:16:19 UTC 2014,48.0841,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:16:24 UTC 2014,48.0841,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:16:29 UTC 2014,48.0841,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:16:34 UTC 2014,48.0841,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:16:39 UTC 2014,48.0841,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:16:44 UTC 2014,48.0841,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:16:49 UTC 2014,51.3272,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:16:54 UTC 2014,51.3272,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:16:59 UTC 2014,51.3272,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:17:04 UTC 2014,51.3272,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:17:09 UTC 2014,51.3272,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:17:15 UTC 2014,51.3272,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:17:20 UTC 2014,40.4798,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:17:25 UTC 2014,38.0735,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:17:30 UTC 2014,38.0735,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:17:35 UTC 2014,38.0735,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:17:40 UTC 2014,38.0735,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:17:45 UTC 2014,38.0735,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:17:50 UTC 2014,49.9579,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:17:55 UTC 2014,49.9579,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:18:00 UTC 2014,49.9579,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:18:05 UTC 2014,49.9579,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:18:11 UTC 2014,38.6009,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:18:16 UTC 2014,38.6009,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:18:21 UTC 2014,38.6009,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:18:26 UTC 2014,38.6009,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:18:31 UTC 2014,38.6009,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:18:36 UTC 2014,38.6009,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:18:41 UTC 2014,55.3975,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:18:47 UTC 2014,55.3975,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:18:52 UTC 2014,55.3975,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:18:57 UTC 2014,55.3975,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:19:02 UTC 2014,55.3975,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:19:07 UTC 2014,34.8808,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:19:12 UTC 2014,35.1181,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:19:17 UTC 2014,35.1181,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:19:22 UTC 2014,35.1181,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:19:27 UTC 2014,35.1181,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:19:32 UTC 2014,35.1181,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:19:37 UTC 2014,37.281,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:19:43 UTC 2014,40.5334,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:19:48 UTC 2014,40.5334,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:19:53 UTC 2014,40.5334,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:19:58 UTC 2014,40.5334,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:20:03 UTC 2014,40.5334,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:20:08 UTC 2014,47.0028,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:20:13 UTC 2014,47.5111,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:20:18 UTC 2014,47.5111,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:20:23 UTC 2014,47.5111,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:20:28 UTC 2014,46.8498,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:20:33 UTC 2014,46.8498,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:20:38 UTC 2014,46.9149,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:20:44 UTC 2014,46.9149,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:20:49 UTC 2014,46.9149,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:20:54 UTC 2014,46.9149,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:20:59 UTC 2014,47.6521,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:21:04 UTC 2014,47.6521,0.24,2.0,AppServer_scaleOut,
Fri Feb 21 10:21:09 UTC 2014,52.2632,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:21:17 UTC 2014,52.2632,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:21:25 UTC 2014,51.7929,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:21:33 UTC 2014,50.828,0.24,2.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:21:42 UTC 2014,50.828,0.24,2.0,CassandraNode_scaleOut,CassandraNode
