Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 12:29:38 UTC 2014,53.2064,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:43 UTC 2014,55.1102,0.12,1.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:48 UTC 2014,55.1102,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:29:55 UTC 2014,55.2977,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:30:00 UTC 2014,55.2977,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:30:05 UTC 2014,55.2977,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:30:10 UTC 2014,55.996,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:30:15 UTC 2014,55.996,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:30:20 UTC 2014,53.7538,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:30:25 UTC 2014,53.7538,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:30:30 UTC 2014,58.3333,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:30:35 UTC 2014,58.3333,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:30:40 UTC 2014,58.8889,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:30:45 UTC 2014,58.8889,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:30:50 UTC 2014,59.0955,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:30:55 UTC 2014,59.0955,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:31:00 UTC 2014,59.0955,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:31:05 UTC 2014,59.0955,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:31:10 UTC 2014,61.7296,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:31:15 UTC 2014,61.7296,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:31:21 UTC 2014,60.8652,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:31:26 UTC 2014,60.8652,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:31:31 UTC 2014,61.7618,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:31:36 UTC 2014,61.7618,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:31:41 UTC 2014,72.2167,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:31:46 UTC 2014,72.2167,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:31:51 UTC 2014,72.2167,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:31:56 UTC 2014,72.2167,0.12,1.0,AppServer_scaleIn,
Thu Feb 20 12:32:01 UTC 2014,72.2167,0.12,1.0,AppServer_scaleIn,
