Time ,cpuUsage ,cost ,currentThreadsBusy ,memUsed ,requestThroughput ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 14:04:05 UTC 2014,66.9871,0.24,23,41.1343,1.3398,2,,
Fri Feb 21 14:04:13 UTC 2014,66.9871,0.24,23,41.1343,1.3398,2,,
Fri Feb 21 14:04:22 UTC 2014,66.9871,0.24,23,41.1343,1.3398,2,,
Fri Feb 21 14:04:29 UTC 2014,68.2406,0.24,18,37.0644,1.225,2,,
Fri Feb 21 14:04:38 UTC 2014,68.2406,0.24,18,37.0644,1.225,2,,
Fri Feb 21 14:04:46 UTC 2014,68.2406,0.24,18,37.0644,1.225,2,,
Fri Feb 21 14:04:52 UTC 2014,68.2406,0.24,18,37.0644,1.225,2,,
Fri Feb 21 14:04:59 UTC 2014,68.2406,0.24,18,37.0644,1.225,2,,
Fri Feb 21 14:05:06 UTC 2014,68.2406,0.24,18,37.0644,1.225,2,,
Fri Feb 21 14:05:13 UTC 2014,68.2406,0.24,18,37.0644,1.225,2,,
Fri Feb 21 14:05:21 UTC 2014,63.4553,0.24,14,30.3667,1.2875,2,,
Fri Feb 21 14:05:28 UTC 2014,63.4553,0.24,14,30.3667,1.2875,2,,
Fri Feb 21 14:05:33 UTC 2014,63.4553,0.24,14,30.3667,1.2875,2,,
Fri Feb 21 14:05:41 UTC 2014,63.4553,0.24,14,30.3667,1.2875,2,,
Fri Feb 21 14:05:47 UTC 2014,63.4553,0.24,14,30.3667,1.2875,2,,
Fri Feb 21 14:05:56 UTC 2014,63.4553,0.24,14,30.3667,1.2875,2,,
Fri Feb 21 14:06:04 UTC 2014,63.4553,0.24,14,30.3667,1.2875,2,,
Fri Feb 21 14:06:13 UTC 2014,63.4553,0.24,14,30.3667,1.2875,2,,
Fri Feb 21 14:06:20 UTC 2014,63.4553,0.24,14,30.3667,1.2875,2,,
Fri Feb 21 14:06:26 UTC 2014,63.4553,0.24,14,30.3667,1.2875,2,,
Fri Feb 21 14:06:34 UTC 2014,63.4553,0.24,14,30.3667,1.2875,2,,
Fri Feb 21 14:06:42 UTC 2014,58.1554,0.24,7.5,25.3935,1.1667,2,,
Fri Feb 21 14:06:48 UTC 2014,58.1554,0.24,7.5,25.3935,1.1667,2,,
Fri Feb 21 14:06:54 UTC 2014,58.1554,0.24,7.5,25.3935,1.1667,2,,
Fri Feb 21 14:07:00 UTC 2014,58.1554,0.24,7.5,25.3935,1.1667,2,,
Fri Feb 21 14:07:08 UTC 2014,58.1554,0.24,7.5,25.3935,1.1667,2,,
Fri Feb 21 14:07:14 UTC 2014,58.1554,0.24,7.5,25.3935,1.1667,2,,
Fri Feb 21 14:07:24 UTC 2014,62.95,0.24,8,25.7404,1.1796,2,,
Fri Feb 21 14:07:31 UTC 2014,62.95,0.24,8,25.7404,1.1796,2,,
Fri Feb 21 14:07:37 UTC 2014,62.95,0.24,8,25.7404,1.1796,2,,
Fri Feb 21 14:07:44 UTC 2014,62.95,0.24,8,25.7404,1.1796,2,,
Fri Feb 21 14:07:52 UTC 2014,62.95,0.24,8,25.7404,1.1796,2,,
Fri Feb 21 14:08:00 UTC 2014,62.95,0.24,8,25.7404,1.1796,2,,
Fri Feb 21 14:08:07 UTC 2014,62.95,0.24,8,25.7404,1.1796,2,,
Fri Feb 21 14:08:13 UTC 2014,62.95,0.24,8,25.7404,1.1796,2,,
Fri Feb 21 14:08:19 UTC 2014,62.95,0.24,8,25.7404,1.1796,2,,
Fri Feb 21 14:08:26 UTC 2014,62.95,0.24,8,25.7404,1.1796,2,,
Fri Feb 21 14:08:34 UTC 2014,62.95,0.24,8,25.7404,1.1796,2,,
Fri Feb 21 14:08:42 UTC 2014,62.95,0.24,8,25.7404,1.1796,2,,
Fri Feb 21 14:08:47 UTC 2014,68.8496,0.24,10.5,27.76,1.1,2,,
Fri Feb 21 14:08:53 UTC 2014,68.8496,0.24,10.5,27.76,1.1,2,,
Fri Feb 21 14:09:00 UTC 2014,68.8496,0.24,10.5,27.76,1.1,2,,
Fri Feb 21 14:09:06 UTC 2014,68.8496,0.24,10.5,27.76,1.1,2,,
Fri Feb 21 14:09:13 UTC 2014,68.8496,0.24,10.5,27.76,1.1,2,,
Fri Feb 21 14:09:19 UTC 2014,68.8496,0.24,10.5,27.76,1.1,2,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 14:09:33 UTC 2014,58.4075,0.24,10.5,27.4944,1.2785,2,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 14:09:47 UTC 2014,64.534,0.24,9.5,28.1394,1.2462,2,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 14:09:59 UTC 2014,64.534,0.24,9.5,28.1394,1.2462,2,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 14:10:13 UTC 2014,62.2346,0.24,10.5,28.2104,1.1796,2,,
Fri Feb 21 14:10:21 UTC 2014,62.2346,0.24,10.5,28.2104,1.1796,2,,
Fri Feb 21 14:10:27 UTC 2014,62.2346,0.24,10.5,28.2104,1.1796,2,,
Fri Feb 21 14:10:35 UTC 2014,62.2346,0.24,10.5,28.2104,1.1796,2,,
Fri Feb 21 14:10:44 UTC 2014,72.7784,0.24,13,33.017,1.1484,2,,
Fri Feb 21 14:10:52 UTC 2014,72.7784,0.24,13,33.017,1.1484,2,,
Fri Feb 21 14:11:00 UTC 2014,72.7784,0.24,13,33.017,1.1484,2,,
Fri Feb 21 14:11:07 UTC 2014,72.7784,0.24,13,33.017,1.1484,2,,
Fri Feb 21 14:11:13 UTC 2014,72.7784,0.24,13,33.017,1.1484,2,,
Fri Feb 21 14:11:21 UTC 2014,72.7784,0.24,13,33.017,1.1484,2,,
Fri Feb 21 14:11:29 UTC 2014,72.7784,0.24,13,33.017,1.1484,2,,
Fri Feb 21 14:11:35 UTC 2014,72.7784,0.24,13,33.017,1.1484,2,,
Fri Feb 21 14:11:41 UTC 2014,72.7784,0.24,13,33.017,1.1484,2,,
Fri Feb 21 14:11:47 UTC 2014,72.7784,0.24,13,33.017,1.1484,2,,
Fri Feb 21 14:11:55 UTC 2014,72.7784,0.24,13,33.017,1.1484,2,,
Fri Feb 21 14:12:01 UTC 2014,72.7784,0.24,13,33.017,1.1484,2,,
Fri Feb 21 14:12:06 UTC 2014,72.7784,0.24,13,33.017,1.1484,2,,
Fri Feb 21 14:12:13 UTC 2014,72.7784,0.24,13,33.017,1.1484,2,,
Fri Feb 21 14:12:21 UTC 2014,72.7784,0.24,13,33.017,1.1484,2,,
Fri Feb 21 14:12:27 UTC 2014,75.189,0.24,15,33.3724,1.2292,2,,
Fri Feb 21 14:12:34 UTC 2014,75.189,0.24,15,33.3724,1.2292,2,,
Fri Feb 21 14:12:40 UTC 2014,75.189,0.24,15,33.3724,1.2292,2,,
Fri Feb 21 14:12:46 UTC 2014,75.189,0.24,15,33.3724,1.2292,2,,
Fri Feb 21 14:12:52 UTC 2014,75.189,0.24,15,33.3724,1.2292,2,,
