Time ,cpuUsage ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 13:48:43 UTC 2014,51.1399,8,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:48:50 UTC 2014,47.695,8,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:48:58 UTC 2014,47.6847,8,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:49:05 UTC 2014,51.9208,8,,
Thu Feb 20 13:49:11 UTC 2014,51.9208,8,,
Thu Feb 20 13:49:16 UTC 2014,53.7823,9,,
Thu Feb 20 13:49:22 UTC 2014,55.1101,9,,
Thu Feb 20 13:49:27 UTC 2014,53.207,9,,
Thu Feb 20 13:49:33 UTC 2014,53.207,9,,
Thu Feb 20 13:49:39 UTC 2014,51.6023,9,,
Thu Feb 20 13:49:44 UTC 2014,51.5062,9,,
Thu Feb 20 13:49:50 UTC 2014,51.5062,9,,
Thu Feb 20 13:49:56 UTC 2014,50.4001,9,,
Thu Feb 20 13:50:01 UTC 2014,50.4001,9,,
Thu Feb 20 13:50:07 UTC 2014,50.1897,9,,
Thu Feb 20 13:50:12 UTC 2014,52.0977,9,,
Thu Feb 20 13:50:18 UTC 2014,52.0977,9,,
Thu Feb 20 13:50:24 UTC 2014,53.5259,9,,
Thu Feb 20 13:50:30 UTC 2014,53.5259,9,,
Thu Feb 20 13:50:35 UTC 2014,47.1477,9,,
Thu Feb 20 13:50:41 UTC 2014,47.1477,9,,
Thu Feb 20 13:50:47 UTC 2014,48.1006,9,,
Thu Feb 20 13:50:52 UTC 2014,48.1006,9,,
Thu Feb 20 13:50:58 UTC 2014,49.6945,9,,
Thu Feb 20 13:51:04 UTC 2014,49.6945,9,,
Thu Feb 20 13:51:09 UTC 2014,55.4908,9,,
Thu Feb 20 13:51:15 UTC 2014,54.3576,9,,
Thu Feb 20 13:51:20 UTC 2014,54.3576,9,,
Thu Feb 20 13:51:26 UTC 2014,52.3747,9,,
Thu Feb 20 13:51:31 UTC 2014,48.8784,9,,
Thu Feb 20 13:51:37 UTC 2014,48.8784,9,,
Thu Feb 20 13:51:42 UTC 2014,53.5608,9,,
Thu Feb 20 13:51:47 UTC 2014,53.5608,9,,
Thu Feb 20 13:51:54 UTC 2014,51.6168,9,,
Thu Feb 20 13:51:59 UTC 2014,51.6168,9,,
Thu Feb 20 13:52:05 UTC 2014,51.6168,9,,
Thu Feb 20 13:52:11 UTC 2014,52.0837,9,,
Thu Feb 20 13:52:16 UTC 2014,49.5176,9,,
Thu Feb 20 13:52:21 UTC 2014,49.5426,9,,
Thu Feb 20 13:52:27 UTC 2014,49.2701,9,,
Thu Feb 20 13:52:32 UTC 2014,49.2701,9,,
Thu Feb 20 13:52:37 UTC 2014,49.9174,9,,
Thu Feb 20 13:52:43 UTC 2014,52.5055,9,,
Thu Feb 20 13:52:48 UTC 2014,52.243,9,,
