Time ,cpuUsage ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 13:58:17 UTC 2014,82.6479,0.12,1,,
Thu Feb 20 13:58:24 UTC 2014,64.4645,0.12,1,,
Thu Feb 20 13:58:29 UTC 2014,64.4645,0.12,1,,
Thu Feb 20 13:58:35 UTC 2014,91.009,0.12,1,,
Thu Feb 20 13:58:41 UTC 2014,91.009,0.12,1,,
Thu Feb 20 13:58:46 UTC 2014,89.243,0.12,1,,
Thu Feb 20 13:58:52 UTC 2014,89.243,0.12,1,,
Thu Feb 20 13:58:57 UTC 2014,89.243,0.12,1,,
Thu Feb 20 13:59:02 UTC 2014,82.1713,0.12,1,,
Thu Feb 20 13:59:08 UTC 2014,87.2599,0.12,1,,
Thu Feb 20 13:59:13 UTC 2014,87.2599,0.12,1,,
Thu Feb 20 13:59:18 UTC 2014,87.2599,0.12,1,,
Thu Feb 20 13:59:24 UTC 2014,87.2599,0.12,1,,
Thu Feb 20 13:59:29 UTC 2014,88.0522,0.12,1,,
Thu Feb 20 13:59:35 UTC 2014,88.0522,0.12,1,,
Thu Feb 20 13:59:40 UTC 2014,86.4458,0.12,1,,
Thu Feb 20 13:59:46 UTC 2014,86.4458,0.12,1,,
Thu Feb 20 13:59:51 UTC 2014,89.4895,0.12,1,,
Thu Feb 20 13:59:57 UTC 2014,87.2856,0.12,1,,
Thu Feb 20 14:00:03 UTC 2014,87.2856,0.12,1,,
Thu Feb 20 14:00:09 UTC 2014,87.2856,0.12,1,,
Thu Feb 20 14:00:14 UTC 2014,87.2856,0.12,1,,
Thu Feb 20 14:00:20 UTC 2014,85.5865,0.12,1,,
