Time ,cost ,numberOfClients ,numberOfVMs , ongoingAction, targetedNodeID
Mon Feb 10 14:43:18 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:43:23 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:43:28 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:43:33 UTC 2014,0.12,8.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:43:38 UTC 2014,0.12,8.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:43:43 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:43:48 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:43:53 UTC 2014,0.12,46.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:43:58 UTC 2014,0.12,46.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:44:03 UTC 2014,0.12,1.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:44:08 UTC 2014,0.12,1.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:44:13 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:44:19 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:44:24 UTC 2014,0.12,24.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:44:29 UTC 2014,0.12,24.0,1.0,DataNodeServiceUnit_scaleOut,
Mon Feb 10 14:44:34 UTC 2014,0.12,0.0,1.0,DataNodeServiceUnit_scaleOut,
