Time ,cost ,responseTime ,throughput ,numberOfClients ,numberOfVMs , ongoingAction, targetedNodeID
Tue Feb 18 09:57:10 UTC 2014,0.36,7.5,141.0,117.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:15 UTC 2014,0.36,7.5,141.0,117.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:20 UTC 2014,0.36,7.5,141.0,117.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:26 UTC 2014,0.36,11.0,164.0,165.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:31 UTC 2014,0.36,11.0,164.0,165.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:36 UTC 2014,0.36,11.0,164.0,165.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:41 UTC 2014,0.36,7.5,145.0,120.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:46 UTC 2014,0.36,7.5,145.0,120.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:51 UTC 2014,0.36,7.5,145.0,120.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:56 UTC 2014,0.36,9.0,152.0,173.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:01 UTC 2014,0.36,9.0,152.0,173.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:06 UTC 2014,0.36,9.0,152.0,173.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:11 UTC 2014,0.36,9.0,152.0,173.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:16 UTC 2014,0.36,9.0,152.0,173.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:21 UTC 2014,0.36,6.5,174.0,149.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:26 UTC 2014,0.36,6.5,174.0,149.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:32 UTC 2014,0.36,11.0,121.0,101.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:37 UTC 2014,0.36,7.0,226.0,137.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:42 UTC 2014,0.36,7.0,226.0,137.0,3.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:47 UTC 2014,0.36,9.0,114.0,137.0,3.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:58:57 UTC 2014,0.36,9.5,147.0,256.0,3.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:59:07 UTC 2014,0.36,9.5,147.0,256.0,3.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:59:17 UTC 2014,0.36,9.5,147.0,256.0,3.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:59:28 UTC 2014,0.36,5.0,75.0,256.0,3.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:59:38 UTC 2014,0.36,5.0,75.0,256.0,3.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:59:48 UTC 2014,0.36,5.0,122.0,228.0,3.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:59:58 UTC 2014,0.36,9.0,110.0,85.0,3.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:00:08 UTC 2014,0.36,6.0,97.0,76.0,3.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:00:19 UTC 2014,0.36,2.5,0.0,0.0,3.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 10:00:29 UTC 2014,0.36,6.5,3.0,0.0,3.0,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
