Time ,cost/client/h , ongoingAction, targetedNodeID
Tue Feb 18 09:50:26 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:31 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:36 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:41 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:46 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:51 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:50:56 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:01 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:06 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:11 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:16 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:21 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:27 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:32 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:37 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:42 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:47 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:52 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:51:57 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:02 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:07 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:12 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:17 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:22 UTC 2014,0.0087,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:27 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:32 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:37 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:42 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:47 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:53 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:52:58 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:03 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:08 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:13 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:18 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:23 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:28 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:33 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:38 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:44 UTC 2014,0.72,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:49 UTC 2014,0.0327,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:54 UTC 2014,0.0067,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:53:59 UTC 2014,0.024,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:04 UTC 2014,0.024,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:09 UTC 2014,0.0019,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:14 UTC 2014,0.0019,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:19 UTC 2014,0.0019,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:24 UTC 2014,0.0019,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:29 UTC 2014,0.0019,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:34 UTC 2014,0.006,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:40 UTC 2014,0.006,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:45 UTC 2014,0.006,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:50 UTC 2014,0.006,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:54:55 UTC 2014,0.0071,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:00 UTC 2014,0.0071,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:05 UTC 2014,0.0071,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:10 UTC 2014,0.0133,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:16 UTC 2014,0.0133,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:21 UTC 2014,0.0133,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:26 UTC 2014,0.0055,EventProcessingServiceUnit_scaleOut,
Tue Feb 18 09:55:31 UTC 2014,0.0055,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:55:37 UTC 2014,0.0055,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:55:43 UTC 2014,0.0055,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:55:49 UTC 2014,0.0058,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:55:55 UTC 2014,0.0058,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:56:01 UTC 2014,0.0058,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:56:07 UTC 2014,0.0058,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:56:14 UTC 2014,0.0047,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:56:20 UTC 2014,0.0047,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:56:26 UTC 2014,0.0047,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 09:56:32 UTC 2014,0.0179,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:56:37 UTC 2014,0.0179,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:56:42 UTC 2014,0.0205,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:56:47 UTC 2014,0.0205,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:56:52 UTC 2014,0.0205,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:56:57 UTC 2014,0.0205,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:03 UTC 2014,0.0205,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:08 UTC 2014,0.0072,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:13 UTC 2014,0.0072,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:18 UTC 2014,0.0072,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:23 UTC 2014,0.0051,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:28 UTC 2014,0.0051,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:33 UTC 2014,0.0051,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:38 UTC 2014,0.007,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:43 UTC 2014,0.007,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:48 UTC 2014,0.007,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:53 UTC 2014,0.0049,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:57:58 UTC 2014,0.0049,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:04 UTC 2014,0.0049,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:09 UTC 2014,0.0049,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:14 UTC 2014,0.0049,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:19 UTC 2014,0.0056,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:24 UTC 2014,0.0056,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:29 UTC 2014,0.0083,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:34 UTC 2014,0.0083,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:39 UTC 2014,0.0061,DataNodeServiceUnit_scaleOut,
Tue Feb 18 09:58:44 UTC 2014,0.0061,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:58:50 UTC 2014,0.0061,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
Tue Feb 18 09:58:56 UTC 2014,0.0033,DataNodeServiceUnit_scaleIn,DataNodeServiceUnit
