Time ,cost ,responseTime ,throughput ,numberOfVMs , ongoingAction, targetedNodeID
Tue Feb 18 11:13:45 UTC 2014,0.72,0.0,0.0,6.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 11:13:59 UTC 2014,0.72,0.0,0.0,6.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 11:14:07 UTC 2014,0.72,0.0,0.0,6.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 11:14:14 UTC 2014,0.72,0.0,0.0,6.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 11:14:21 UTC 2014,0.72,0.0,0.0,6.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 11:14:28 UTC 2014,0.72,0.0,0.0,6.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 11:14:35 UTC 2014,0.72,0.0,0.0,6.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 11:14:41 UTC 2014,0.72,0.0,0.0,6.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 11:14:47 UTC 2014,0.72,0.0,0.0,6.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 11:14:55 UTC 2014,0.72,0.0,0.0,6.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 11:15:01 UTC 2014,0.72,19.5,171.0,6.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 11:15:12 UTC 2014,0.72,19.5,171.0,6.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 11:15:22 UTC 2014,0.72,19.5,171.0,6.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 11:15:34 UTC 2014,0.72,12.0,177.0,6.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 11:15:50 UTC 2014,0.72,12.0,177.0,6.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 11:16:01 UTC 2014,0.72,12.0,177.0,6.0,DataNodeServiceUnit_scaleOut,DataNodeServiceUnit
Tue Feb 18 11:16:12 UTC 2014,0.72,7.8333,147.0,6.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 11:16:19 UTC 2014,0.72,7.8333,147.0,6.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 11:16:26 UTC 2014,0.72,9.5,112.0,6.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 11:16:35 UTC 2014,0.72,9.5,112.0,6.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 11:16:42 UTC 2014,0.72,9.5,112.0,6.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 11:16:50 UTC 2014,0.72,9.5,112.0,6.0,DataNodeServiceUnit_scaleOut,
Tue Feb 18 11:17:01 UTC 2014,0.72,8.1667,135.0,6.0,DataNodeServiceUnit_scaleOut,
