Time ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 12:17:33 UTC 2014,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:17:39 UTC 2014,4.0,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 12:39:34 UTC 2014,5.6258,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:39 UTC 2014,5.7881,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:44 UTC 2014,4.476,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:49 UTC 2014,4.5135,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:54 UTC 2014,5.0093,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:39:59 UTC 2014,5.4924,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:04 UTC 2014,5.3256,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:09 UTC 2014,5.3296,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:15 UTC 2014,5.3296,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:20 UTC 2014,5.5777,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:25 UTC 2014,5.4944,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:30 UTC 2014,5.4944,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:35 UTC 2014,5.3912,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:40 UTC 2014,5.3786,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:45 UTC 2014,6.3795,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:50 UTC 2014,6.3795,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:40:55 UTC 2014,6.3795,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:00 UTC 2014,4.953,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:05 UTC 2014,5.003,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:11 UTC 2014,4.8225,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:16 UTC 2014,4.8941,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:21 UTC 2014,4.8691,4.0,CassandraNode_scaleIn,
Thu Feb 20 12:41:26 UTC 2014,4.3232,4.0,CassandraNode_scaleIn,
