Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 12:28:32 UTC 2014,39.7265,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:38 UTC 2014,39.7265,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:43 UTC 2014,25.4258,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:48 UTC 2014,25.4258,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:53 UTC 2014,27.3319,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:28:58 UTC 2014,27.3319,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:03 UTC 2014,27.3319,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:08 UTC 2014,26.9468,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:13 UTC 2014,26.9468,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:18 UTC 2014,26.9559,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:23 UTC 2014,26.9559,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:28 UTC 2014,26.6283,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:33 UTC 2014,26.6283,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:38 UTC 2014,26.6283,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:43 UTC 2014,27.5802,0.24,2.0,CassandraNode_scaleIn,
Thu Feb 20 12:29:48 UTC 2014,27.68,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:29:54 UTC 2014,27.7738,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:29:59 UTC 2014,27.7738,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:30:04 UTC 2014,27.7738,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:30:10 UTC 2014,28.0732,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:30:15 UTC 2014,28.0732,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:30:20 UTC 2014,26.9521,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:30:25 UTC 2014,26.9521,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:30:30 UTC 2014,29.2419,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:30:35 UTC 2014,29.2419,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:30:40 UTC 2014,29.2419,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:30:45 UTC 2014,29.4946,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:30:50 UTC 2014,29.5979,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:30:55 UTC 2014,29.5979,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:31:00 UTC 2014,29.5979,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:31:05 UTC 2014,29.5979,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:31:10 UTC 2014,30.965,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:31:15 UTC 2014,30.965,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:31:20 UTC 2014,30.5328,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:31:26 UTC 2014,30.5328,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:31:31 UTC 2014,30.9811,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:31:36 UTC 2014,30.9811,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:31:41 UTC 2014,36.1334,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:31:46 UTC 2014,36.1334,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:31:51 UTC 2014,36.1334,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:31:56 UTC 2014,36.1334,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:32:01 UTC 2014,36.1835,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:32:06 UTC 2014,36.1835,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:32:11 UTC 2014,36.1835,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:32:16 UTC 2014,36.1835,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:32:21 UTC 2014,36.1835,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:32:26 UTC 2014,36.1835,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:32:31 UTC 2014,36.2086,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:32:36 UTC 2014,36.2086,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:32:41 UTC 2014,36.2086,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:32:47 UTC 2014,36.2086,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:32:52 UTC 2014,36.2086,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:32:57 UTC 2014,36.2086,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:33:02 UTC 2014,36.2086,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:33:07 UTC 2014,0.2006,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:33:12 UTC 2014,0.2006,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:33:17 UTC 2014,0.2006,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:33:22 UTC 2014,37.9866,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:33:27 UTC 2014,37.9866,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:33:32 UTC 2014,37.9866,0.24,2.0,AppServer_scaleIn,
Thu Feb 20 12:33:37 UTC 2014,37.8361,0.24,2.0,AppServer_scaleIn,
