Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 10:12:09 UTC 2014,81.9009,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:12:14 UTC 2014,81.9009,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:12:19 UTC 2014,81.9009,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:12:24 UTC 2014,86.6332,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:12:29 UTC 2014,86.6332,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:12:34 UTC 2014,86.6332,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:12:39 UTC 2014,81.1168,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:12:44 UTC 2014,81.1168,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:12:49 UTC 2014,78.6359,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:12:54 UTC 2014,78.6359,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:12:59 UTC 2014,78.6359,0.12,1.0,AppServer_scaleIn,
Fri Feb 21 10:13:04 UTC 2014,80.3181,0.12,1.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:13:13 UTC 2014,80.3181,0.12,1.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:13:21 UTC 2014,83.1653,0.12,1.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:13:29 UTC 2014,74.502,0.12,1.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:13:37 UTC 2014,74.502,0.12,1.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:13:45 UTC 2014,72.4,0.12,1.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:13:53 UTC 2014,72.4,0.12,1.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:14:01 UTC 2014,70.0498,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:14:06 UTC 2014,70.0498,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:14:11 UTC 2014,64.5226,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:14:16 UTC 2014,64.5226,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:14:22 UTC 2014,64.5226,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:14:27 UTC 2014,84.3844,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:14:32 UTC 2014,84.3844,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:14:37 UTC 2014,84.6465,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:14:42 UTC 2014,84.6465,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:14:47 UTC 2014,84.6465,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:14:52 UTC 2014,82.7861,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:14:57 UTC 2014,82.7861,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:15:02 UTC 2014,82.7861,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:15:07 UTC 2014,87.4875,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:15:13 UTC 2014,87.4875,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:15:18 UTC 2014,87.4875,0.12,1.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:15:26 UTC 2014,84.5846,0.12,1.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:15:34 UTC 2014,81.0729,0.12,1.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:15:42 UTC 2014,81.0729,0.12,1.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:15:50 UTC 2014,83.6837,0.12,1.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:15:58 UTC 2014,92.1922,0.12,1.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:16:06 UTC 2014,92.1922,0.12,1.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:16:14 UTC 2014,92.0842,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:16:19 UTC 2014,92.0842,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:16:24 UTC 2014,92.0842,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:16:29 UTC 2014,70.8835,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:16:35 UTC 2014,70.8835,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:16:40 UTC 2014,89.6311,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:16:45 UTC 2014,89.6311,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:16:50 UTC 2014,87.3127,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:16:55 UTC 2014,87.3127,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:17:00 UTC 2014,87.3127,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:17:05 UTC 2014,77.4747,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:17:10 UTC 2014,77.4747,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:17:15 UTC 2014,77.4747,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:17:20 UTC 2014,71.0634,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:17:25 UTC 2014,71.0634,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:17:30 UTC 2014,87.6754,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:17:36 UTC 2014,87.6754,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:17:41 UTC 2014,87.6754,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:17:46 UTC 2014,89.0782,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:17:51 UTC 2014,89.0782,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:17:56 UTC 2014,89.0782,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:18:01 UTC 2014,75.3286,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:18:06 UTC 2014,75.3286,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:18:11 UTC 2014,76.3507,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:18:16 UTC 2014,76.3507,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:18:21 UTC 2014,76.3507,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:18:26 UTC 2014,71.2136,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:18:31 UTC 2014,71.2136,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:18:37 UTC 2014,71.2136,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:18:42 UTC 2014,90.6814,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:18:47 UTC 2014,90.6814,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:18:52 UTC 2014,85.2227,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:18:57 UTC 2014,85.2227,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:19:02 UTC 2014,85.2227,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:19:07 UTC 2014,81.1801,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:19:12 UTC 2014,81.1801,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:19:17 UTC 2014,81.1801,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:19:22 UTC 2014,83.4862,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:19:27 UTC 2014,83.4862,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:19:33 UTC 2014,80.1418,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:19:38 UTC 2014,80.1418,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:19:43 UTC 2014,80.1418,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:19:48 UTC 2014,86.6397,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:19:53 UTC 2014,86.6397,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:19:58 UTC 2014,86.6397,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:20:03 UTC 2014,86.3179,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:20:08 UTC 2014,86.3179,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:20:13 UTC 2014,86.8737,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:20:18 UTC 2014,86.8737,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:20:23 UTC 2014,86.8737,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:20:29 UTC 2014,87.0838,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:20:34 UTC 2014,87.0838,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:20:39 UTC 2014,88.477,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:20:44 UTC 2014,88.477,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:20:49 UTC 2014,88.477,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:20:54 UTC 2014,86.7677,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:20:59 UTC 2014,86.7677,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:21:04 UTC 2014,86.7677,0.12,1.0,AppServer_scaleOut,
Fri Feb 21 10:21:09 UTC 2014,85.9579,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:21:17 UTC 2014,87.2727,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:21:26 UTC 2014,87.2727,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:21:34 UTC 2014,82.0122,0.12,1.0,CassandraNode_scaleOut,CassandraNode
Fri Feb 21 10:21:42 UTC 2014,82.0122,0.12,1.0,CassandraNode_scaleOut,CassandraNode
