Time ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Fri Feb 21 10:13:20 UTC 2014,65.1049,0.36,3.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:13:28 UTC 2014,60.9574,0.36,3.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:13:37 UTC 2014,60.9574,0.36,3.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:13:45 UTC 2014,59.9064,0.36,3.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:13:53 UTC 2014,58.5469,0.36,3.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:14:01 UTC 2014,61.5589,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:14:06 UTC 2014,61.5589,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:14:11 UTC 2014,62.1105,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:14:16 UTC 2014,62.1105,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:14:22 UTC 2014,62.1105,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:14:27 UTC 2014,69.9939,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:14:32 UTC 2014,66.9663,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:14:37 UTC 2014,67.0973,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:14:42 UTC 2014,67.0973,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:14:47 UTC 2014,67.0973,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:14:52 UTC 2014,66.1671,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:14:57 UTC 2014,64.5888,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:15:02 UTC 2014,64.295,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:15:07 UTC 2014,66.6457,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:15:12 UTC 2014,66.6457,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:15:17 UTC 2014,66.6457,0.36,3.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:15:26 UTC 2014,66.1205,0.36,3.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:15:34 UTC 2014,63.8878,0.36,3.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:15:42 UTC 2014,63.8878,0.36,3.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:15:50 UTC 2014,65.1932,0.36,3.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:15:58 UTC 2014,70.5685,0.36,3.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:16:06 UTC 2014,70.5685,0.36,3.0,AppServer_scaleOut,AppServer
Fri Feb 21 10:16:14 UTC 2014,70.5145,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:16:19 UTC 2014,70.0841,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:16:24 UTC 2014,70.0841,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:16:29 UTC 2014,59.4838,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:16:34 UTC 2014,59.4838,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:16:39 UTC 2014,68.8576,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:16:45 UTC 2014,68.8576,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:16:50 UTC 2014,69.3199,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:16:55 UTC 2014,69.3199,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:17:00 UTC 2014,69.3199,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:17:05 UTC 2014,64.4009,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:17:10 UTC 2014,64.4009,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:17:15 UTC 2014,64.4009,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:17:20 UTC 2014,55.7716,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:17:25 UTC 2014,54.5685,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:17:30 UTC 2014,62.8744,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:17:35 UTC 2014,62.8744,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:17:40 UTC 2014,62.8744,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:17:46 UTC 2014,68.7624,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:17:51 UTC 2014,69.518,0.36,3.0,AppServer_scaleOut,
Fri Feb 21 10:17:56 UTC 2014,69.518,0.36,3.0,AppServer_scaleOut,
