Time ,memUsage ,cpuUsage ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 13:46:35 UTC 2014,9.9621,0.1003,0.12,1,,
Thu Feb 20 13:46:40 UTC 2014,9.9621,0.1002,0.12,1,,
Thu Feb 20 13:46:46 UTC 2014,9.9621,0.1002,0.12,1,,
Thu Feb 20 13:46:51 UTC 2014,9.9621,0.2004,0.12,1,,
Thu Feb 20 13:46:56 UTC 2014,9.9621,0.2004,0.12,1,,
Thu Feb 20 13:47:02 UTC 2014,9.9621,0.2004,0.12,1,,
Thu Feb 20 13:47:07 UTC 2014,9.9621,0.2004,0.12,1,,
Thu Feb 20 13:47:13 UTC 2014,9.9621,0.1002,0.12,1,,
Thu Feb 20 13:47:18 UTC 2014,9.9621,0.1002,0.12,1,,
Thu Feb 20 13:47:24 UTC 2014,9.9621,0.2002,0.12,1,,
Thu Feb 20 13:47:29 UTC 2014,9.9621,0.2002,0.12,1,,
Thu Feb 20 13:47:35 UTC 2014,9.956,0.2002,0.12,1,,
Thu Feb 20 13:47:40 UTC 2014,9.956,0.2002,0.12,1,,
Thu Feb 20 13:47:45 UTC 2014,9.956,0.2002,0.12,1,,
Thu Feb 20 13:47:51 UTC 2014,9.956,0.2002,0.12,1,,
Thu Feb 20 13:47:56 UTC 2014,9.956,0.2002,0.12,1,,
Thu Feb 20 13:48:02 UTC 2014,9.956,0.2,0.12,1,,
Thu Feb 20 13:48:07 UTC 2014,9.956,0.2,0.12,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:48:17 UTC 2014,9.9681,0.3,0.12,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:48:26 UTC 2014,9.9681,0,0.12,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:48:36 UTC 2014,9.9681,0,0.12,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:48:45 UTC 2014,9.9621,0.1002,0.12,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:48:55 UTC 2014,9.9621,0.1998,0.12,1,CassandraNode_scaleOut,CassandraNode
Thu Feb 20 13:49:04 UTC 2014,9.9621,0.1998,0.12,1,,
Thu Feb 20 13:49:10 UTC 2014,9.9621,0.1998,0.12,1,,
Thu Feb 20 13:49:16 UTC 2014,9.9681,0.2006,0.12,1,,
Thu Feb 20 13:49:21 UTC 2014,9.9681,0.1001,0.12,1,,
Thu Feb 20 13:49:27 UTC 2014,9.9681,0.1001,0.12,1,,
Thu Feb 20 13:49:32 UTC 2014,9.9681,0.1001,0.12,1,,
Thu Feb 20 13:49:38 UTC 2014,9.9681,0.1002,0.12,1,,
