Time ,cpuUsage ,cost ,numberOfVMs , ongoingAction, targetedNodeID
Thu Feb 20 13:42:18 UTC 2014,44.163,0.36,3,AppServer_scaleOut,AppServer
Thu Feb 20 13:42:27 UTC 2014,39.4085,0.36,3,,
Thu Feb 20 13:42:32 UTC 2014,39.4085,0.36,3,,
Thu Feb 20 13:42:38 UTC 2014,35.6889,0.36,3,,
Thu Feb 20 13:42:43 UTC 2014,35.6889,0.36,3,,
Thu Feb 20 13:42:49 UTC 2014,35.7521,0.36,3,,
Thu Feb 20 13:42:54 UTC 2014,35.7521,0.36,3,,
Thu Feb 20 13:43:00 UTC 2014,42.9443,0.36,3,,
Thu Feb 20 13:43:06 UTC 2014,47.3841,0.36,3,,
Thu Feb 20 13:43:12 UTC 2014,47.3841,0.36,3,,
Thu Feb 20 13:43:17 UTC 2014,47.1182,0.36,3,,
Thu Feb 20 13:43:23 UTC 2014,47.1182,0.36,3,,
Thu Feb 20 13:43:28 UTC 2014,44.9857,0.36,3,,
Thu Feb 20 13:43:34 UTC 2014,44.9857,0.36,3,,
Thu Feb 20 13:43:39 UTC 2014,47.527,0.36,3,,
Thu Feb 20 13:43:44 UTC 2014,47.527,0.36,3,,
Thu Feb 20 13:43:50 UTC 2014,47.527,0.36,3,,
Thu Feb 20 13:43:55 UTC 2014,51.9718,0.36,3,,
Thu Feb 20 13:44:00 UTC 2014,54.447,0.36,3,,
Thu Feb 20 13:44:06 UTC 2014,54.447,0.36,3,,
Thu Feb 20 13:44:11 UTC 2014,54.447,0.36,3,,
Thu Feb 20 13:44:17 UTC 2014,54.447,0.36,3,,
Thu Feb 20 13:44:22 UTC 2014,44.539,0.36,3,,
Thu Feb 20 13:44:28 UTC 2014,44.539,0.36,3,,
Thu Feb 20 13:44:33 UTC 2014,44.539,0.36,3,,
Thu Feb 20 13:44:38 UTC 2014,44.0137,0.36,3,,
Thu Feb 20 13:44:44 UTC 2014,44.0137,0.36,3,,
Thu Feb 20 13:44:49 UTC 2014,44.0137,0.36,3,,
Thu Feb 20 13:44:55 UTC 2014,44.0137,0.36,3,,
Thu Feb 20 13:45:00 UTC 2014,41.71,0.36,3,,
Thu Feb 20 13:45:06 UTC 2014,41.71,0.36,3,,
Thu Feb 20 13:45:11 UTC 2014,41.71,0.36,3,,
